Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::LW_Tree 2,-40.2905140408287,20.3847768095864,-300.303914108091,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-99.3816165839771,16.8825876820768,-247.884387658523,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-479.355232834468,12.2487426774027,-367.44406541532,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-339.967553041299,14.6018118328707,-268.648762736502,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-300.76567775511,13.873509554238,-319.103561697317,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-333.552662252508,20.9207210730722,-168.981062545091,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-258.807533799534,19.5610022232078,-78.5769767476352,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-153.014817542149,14.4314018611976,-105.963021624123,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-2.64332925302274,16.4179914027732,-265.545588626592,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-286.041513407171,13.5896628191883,-320.223100687223,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-64.4952417958053,20.5156171228665,-409.876255783809,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-58.6667161983826,21.3165688940459,-397.770856466085,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-202.303013029985,14.0078743692892,-269.878899370856,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-203.075009692242,14.3015287510472,-260.614939423769,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-87.8093441854958,18.177348997709,-262.369723356728,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-106.966190652709,19.5115526702066,-285.809670000029,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-311.331984930568,16.3889238621992,-37.1752388469421,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-203.770226521934,13.5182174509074,-21.0622169891309,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-178.485092000592,13.6775934713669,-44.3803700624737,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-273.783436781965,18.3352634462141,-59.0507515323205,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-470.688111007991,9.17715010357314,-300.613544415439,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-486.667238107387,9.65341027401144,-323.855911105468,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-472.867082885182,7.76202258191622,-263.934184482735,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-374.02507228278,19.3049838858019,-389.92307846346,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-321.994549380811,17.1397671143976,-357.265622599458,1,0,0,0,1,0
INSTANTIATE::LW_Tree 2,-255.899069106039,16.0829437922381,-380.144827309956,1,0,0,0,1,0
