Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::LW_Lamp 2,-396.519972919781,17.5796628894402,-377.615559733051,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-0.208666804580833,12.4898634367648,-207.612817519689,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-20.7106857246759,13.1309499966723,-207.612817519689,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-0.849385161927522,15.9867713383048,-259.852817164397,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-10.7172738438976,17.5390204541045,-277.578469056084,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-7.97619365446144,16.7390319514679,-266.614148298339,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-54.8464225244376,16.2290092652594,-463.437904870416,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-68.1511537499519,13.7305964207633,-496.665292115304,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-63.0859425065079,14.7380576403481,-483.554790542717,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-241.698081642487,14.0921051633492,-280.812526020634,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-257.284411815659,13.5175011080503,-292.322431379284,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-284.020962805022,13.1884521951596,-308.628130637371,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-252.009038526278,12.9404816998528,-299.806547347398,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-100.050906138999,19.2606488711531,-279.462989350124,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-95.7672096982751,18.5906160442859,-269.290527968547,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-109.237628626334,19.3046642766113,-284.004739793301,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-4.06010375715372,15.6935861939896,-252.857580520956,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-267.156720366029,17.5528261899934,-395.560295533117,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-306.002650951473,18.9934983425326,-387.462317347972,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-290.755623196686,20.5359289705385,-427.667855503905,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-183.823715516241,14.4597926239168,-435.974440021418,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-183.338141383923,13.9440548640602,-448.599367461688,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-199.9447767092,14.1623225642348,-452.108086188639,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-191.911821927642,13.8683894868159,-451.029032561266,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-180.162126874021,13.5399275021273,-458.58240795288,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-164.935481243307,13.8825049117479,-463.498096699803,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-199.465197319256,13.633172896426,-494.430967351174,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-202.462568506405,14.1780621559391,-471.890736023818,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-185.79718470586,12.9563990705367,-479.80379595789,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-175.726017517041,12.7794284254336,-478.724742330517,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-168.052747277941,12.6022264437877,-484.000115619898,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-4.04703195081965,17.4023040721226,-420.691764536289,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-12.8903080485958,16.8861420485984,-436.689335141961,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-11.7890259164984,15.6530872683437,-454.703164302696,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-2.86864064651022,15.3495862507613,-453.683691700411,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-18.207927486437,16.3050493306916,-448.885248124845,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-39.4608186727061,15.3052759342814,-471.755339127389,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-55.6081008688101,14.7673812794923,-482.29229779869,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-52.5975412484383,15.8557995860504,-467.822188655613,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-45.5965334086768,15.868210607243,-466.091602448031,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-41.4273939085942,14.7665159521372,-479.385651042635,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-44.8099033143216,13.8672946984119,-491.893069542883,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-25.7182481287902,14.0115389620476,-484.372577798675,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-12.4099200578514,13.475986831743,-486.171000510964,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-3.65759619137808,12.7107228861495,-492.885111970176,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-3.0581219539484,14.4531965304603,-467.347509455672,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-10.6114973455623,15.1707895770714,-461.112977386403,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-20.6826645343809,15.5196048868589,-461.472661928861,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-29.3150935533682,15.9770884611875,-459.074764979142,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-32.5522544354885,15.2303135884476,-470.464775490306,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-35.4297307751509,14.4467099484677,-481.85478600147,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-92.8557731466848,23.2367298115982,-367.425037869859,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-79.5341234260252,22.1617681442627,-389.331750743833,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-347.221472332453,17.3955887756852,-358.676022784246,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-374.795209949094,18.5146423602177,-379.28669534618,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-419.63734890141,18.2059687380293,-414.102020619718,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-392.899179091333,18.8788029006486,-395.441006273102,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-224.680614632815,16.4946927443831,-239.666364828234,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-233.67272819426,16.118980445015,-250.097216559511,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-256.932328606532,14.799552734649,-275.514924226529,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-287.497913382115,13.3233379481164,-300.355386160842,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-271.192214124027,14.0461763503354,-287.286847784875,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-218.961771712247,15.0023087307853,-258.320921455839,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-237.981341370423,14.588924368385,-272.899466086563,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-253.927356086053,14.0248590504354,-284.888950835156,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-267.715263546935,13.4268349198035,-295.559592261404,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-436.627227634896,16.8179410016268,-408.531568575952,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-412.117238642326,17.9876854932094,-398.504754897173,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-366.996577087822,17.7361106870292,-366.196133043331,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-356.969763409043,16.6648602761415,-350.320344718598,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-136.995123843689,13.32198444213,-181.190161163584,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-113.970050252426,11.7942840110963,-156.154962100067,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-157.096378566221,14.9560323400408,-175.708000784712,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-164.405925738051,15.0726490098366,-193.981868714286,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-163.492232341572,14.3378620321107,-214.996816833296,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-17.2958662985443,17.0613155306315,-264.969500184677,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-22.412549318825,16.4658831588354,-253.091486030454,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-14.4213868732223,15.7840179226257,-247.676938962921,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-35.2718106269215,18.4065053916834,-274.087196170367,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-14.3562588079213,14.112371374909,-223.79862193029,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-29.5092147278042,14.1404789264861,-217.990569677225,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-19.3059917707974,15.1706685659553,-236.279527535246,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-3.02397544554687,15.0052943717245,-242.940352395576,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-9.98083696633575,14.8621846350495,-236.723582525935,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-5.24425039899013,13.5609379008492,-220.441566200684,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-15.1955227403228,14.6949069691741,-231.591787016876,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-154.355298376785,13.9084875125135,-222.854580043013,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-132.609395540592,14.318592675368,-224.864705515266,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-99.3148103405231,14.2355800311425,-213.693131761013,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-108.64447980122,14.9878407145443,-225.498234726998,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-83.0416795709211,16.7706644376304,-243.925438651557,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-56.1994118500926,14.0788303026233,-210.83117789911,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-41.4814558385067,21.5851786143074,-319.403015314395,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-74.0463900023669,12.3967987584837,-188.324761232779,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-84.8119288146693,13.3398879116073,-200.55704770824,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-93.3205794920069,11.4986960850826,-177.352648898373,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-109.949799307919,11.7086508941497,-176.62169418119,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-109.767060628624,12.8584951964454,-197.636642300201,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-129.868315351155,12.9278526995438,-198.733074375975,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-108.162986724739,16.8388606799827,-249.781886922681,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-116.155976557135,18.7656722219795,-279.977626289509,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-129.773662938254,17.6286257109878,-271.540581466424,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-140.430982714781,16.6156332461144,-263.399573303799,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-117.636159859431,15.9260189154217,-240.900787108908,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-98.09774026913,17.7785724465706,-259.255060057372,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-108.328232818977,16.08732674046,-239.864658797301,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-93.8224364564813,17.3495347004295,-252.742253527272,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-172.446427627063,14.2835696437977,-244.417744199911,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-151.248740828757,14.8768489388924,-243.686789482728,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-62.803220049618,18.451708569091,-265.798169677512,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-50.6638667416669,17.1180269106098,-250.93960122858,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-39.0100875660339,15.6561501006623,-235.012769688549,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-106.107957865534,20.2281221127328,-295.667569293841,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-99.7362541012567,20.7593727609093,-299.994034812795,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-91.7912901482689,20.6940074286047,-295.982221331584,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-86.8004287277995,18.4355704203244,-265.535557142869,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-84.2470151606488,19.9191172051525,-284.220817812762,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-251.935093809083,17.9117446742331,-435.145697141603,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-227.550489639147,14.4652899254429,-270.381674289358,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-272.151372903915,13.0600305000001,-304.311916127878,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-284.98012158491,13.3086366498477,-314.26318846921,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-261.001152087723,12.7700707146142,-306.709813077596,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-204.874427516444,13.9377565004679,-273.271783379888,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-212.787487450516,13.7311260418481,-279.266525754185,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-223.218339181792,13.4373450639173,-286.460216603341,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-210.029905958339,13.7700758669228,-292.934538367581,1,0,0,0,1,0
INSTANTIATE::LW_Lamp 2,-197.560841819802,14.7744679794401,-300.128229216737,1,0,0,0,1,0
